Número Estação;Operadora;SiglaUf;MUN;Bairro;Logradouro;Latitude;Longitude;IBGE;ClassInfraFisica;Tecs;Faixa
686883110;TIM;RS;Dona Francisca;CENTRO;RUA MARECHAL ARTHUR DA COSTA E SILVA, S/N, ;-29.62272;-53.35728;4306700;Greenfield ;2G 4G ;700 900 1800 
686883136;TIM;RS;Eldorado do Sul;GUAIBA COUNTRY CLUB;ESTRADA NR 17, 17, QUADRA 89;-30.1125;-51.65306;4306767;Greenfield ;2G ;900 
686883438;TIM;RS;Gravataí;VERA CRUZ;Rua Lajeado S/N, S/N, Ao Lado Do Nº 122;-29.9255;-51.050583;4309209;Greenfield ;2G 3G 4G 5G ;700 1800 2100 2500 3500 
686884680;TIM;RS;Ijuí;RINCAO DOS BRIZZ;RODOVIA RS 342, S/N, ;-28.48833;-53.83167;4310207;Greenfield ;2G 4G ;900 1800 
686884698;TIM;RS;Ipê;FAZENDA QUILOMBO;FAZENDA DO QUILOMBO, S/N, ;-28.722556;-51.243281;4310439;Greenfield ;2G 3G 4G ;700 900 1800 2100 
686885953;TIM;TO;Araguatins;Nova Araguatins;Avenida Quintino Bocaiuva, 1539, -;-5.65194;-48.11806;1702208;Greenfield ;2G 4G ;900 1800 
686885996;TIM;RS;Júlio de Castilhos;CEU AZUL;RODOVIA BR 158, S/N, ;-29.09056;-53.655;4311205;Greenfield ;2G 3G 4G ;900 1800 2100 
686886518;TIM;RS;Capão da Canoa;CENTRO;RUA MOEMA, 2126, ;-29.761417;-50.0145;4304630;Rooftop ;2G 3G 4G 5G ;1800 2100 3500 
686888642;CLARO;SC;Alfredo Wagner;CENTRO;R DO CEMITÉRIO, S/N, FUNDOS DO CEMITÉRIO;-27.69925;-49.33901;4200705;Greenfield ;2G 3G 4G ;700 900 1800 2100 
686890205;CLARO;PR;Agudos do Sul;VILA PROGRESSO;ROD PR 419, KM 17, ;-25.99228;-49.34195;4100301;Greenfield ;2G 3G 4G ;1800 2100 
686891660;VIVO;PR;Paranavaí;JARDIM IGUAÇU;RUA ANTENOR GRIGORI, S/N, RBR-NÃO;-23.08056;-52.44722;4118402;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
686891848;VIVO;PR;Jardim Alegre;JARDIM ALEGRE;AVENIDA GETULINA, 526, RBR-NÃO;-24.17694;-51.6925;4112504;Greenfield ;2G 3G 4G ;700 850 1800 
686892003;VIVO;SC;Itapiranga;CENTRO;RUA 25 DE JULHO, S/N, ;-27.16917;-53.70833;4208401;Greenfield ;2G 3G 4G ;700 1800 2100 
686892704;TIM;RS;Nova Petrópolis;CENTRO;Rodovia Rs 235, S/N, ;-29.35294;-51.08108;4313201;Greenfield ;2G 4G ;700 900 1800 
686892801;TIM;RS;Osório;CHACARA DO VELHO BORBA;RUA SINVAL RIBEIRO, S/N, ;-29.89;-50.23611;4313508;Greenfield ;2G 3G 4G 5G ;700 900 1800 2100 3500 
686892860;TIM;RS;Panambi;ARCO-IRIS;AVENIDA PRESIDENTE KENNEDY, 1965, ;-28.31722;-53.51111;4313904;Greenfield ;2G 4G ;700 1800 
686893263;TIM;RS;Porto Alegre;TRISTEZA;Rua Wenceslau Escobar, 3407, -;-30.117778;-51.253611;4314902;Rooftop ;2G 3G 4G 5G ;700 1800 2100 2500 3500 
686893271;TIM;RS;Porto Alegre;CAVALHADA;Avenida Cavalhada, 5055, -;-30.119889;-51.224889;4314902;Rooftop ;2G 3G 4G 5G ;700 1800 2100 2500 3500 
686893670;TIM;RS;Porto Alegre;RESTINGA;AVENIDA ECONOMISTA NILA WULFF, 895, EM AQUISIÇÃO;-30.151751;-51.141973;4314902;;2G 3G 4G ;700 1800 2100 2500 
686893719;TIM;RS;Porto Alegre;ZONA RURAL;ESTRADA DO ESPIGAO, 3955, ;-30.202667;-51.055306;4314902;Greenfield ;2G 3G 4G 5G ;900 1800 2100 3500 
